book_id,title,authors,description,image,isbn,language
"47MWEAAAQBAJ""","""Vampire Hunter D Omnibus: Book One""","{"Hideyuki Kikuchi"}","""A new omnibus collecting the first three volumes of the Vampire Hunter D horror novel series! It is 12,090 A.D., thousands of years since the human race nearly destroyed itself in a nuclear war--a folly foreseen by those who waited to emerge out of the underground...not from shelters, but from crypts! The aristocratic vampire lords known as the Nobles inherited our world, and with dark science and immortal patience made real the things that mortals had merely dreamed, whether voyaging to the distant stars, or conjuring monsters to roam the Earth. Yet the grand civilization of the Nobles has grown decadent, and as the terrorized remnants of humanity at last found the strength to rebel, their undying lords have been pushed back to the Frontier--the violent borderlands where humans still remain the prey of vampires, who for all their knowledge and power have never lost their obsession with our living flesh, blood...and souls! In this bizarre and deadly far future the most dangerous thing of all is not a vampire, but the one who hunts them--the one who is half them--a dhampir, the unearthly beautiful wanderer known as D. The Vampire Hunter D Omnibus collects the first three novels in author Hideyuki Kikuchi's adventure horror series: Vampire Hunter D, Raiser of Gales, and Demon Deathchase. Illustrated by Final Fantasy artist Yoshitaka Amano, this book is only the beginning of a legend!""","""http://books.google.com/books/content?id=47MWEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9781506725291""","""en"
"48LFCgAAQBAJ""","""Economic Growth And Transition: Econometric Analysis Of Lim's S-curve Hypothesis""","{"Hui Ying Sng"}","""This book is the first of its kind to systematically analyze and apply Lim Chong Yah's S-Curve Hypothesis to the various facets of economic growth and economic transition. By augmenting the mathematical and economical sophistication of the hypothesis, this book extends the S-Curve hypothesis to provide further insight into economic growth and transition.It also utilizes a construction of a stochastic growth model to provide the microeconomic foundation for the S-Curve hypothesis. This model resolves the puzzle of why some developing countries experience economic take-off, while others do not. The book analyzes and extends discussion on the S-Curve, and also applies the S-Curve hypothesis to predict long-term growth in Japan and Singapore. It serves as an excellent resource for people interested in Lim's growth theory.""","""http://books.google.com/books/content?id=48LFCgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9789814466004""","""en"
"4AU_BAAAQBAJ""","""U Can’T Make This Stuff Up""","{"Larry Malcolm"}","""The reason I wrote this book was to make available stories that prove it is not too late. I had discernment that I should write short stories and mix various topics with both humor and eternal consequences. On October 30, 2012, I was on an elevator flirting with several women. I walked off that elevator with an idea: a book about flirting. During the first week of November 2012, I asked Jesus to give me ideas for a book. In 48 hours, the Holy Spirit gave me 130 ideas for a book. Sixty weeks and 950 hours of work later, I have a complete manuscript. The Bible says Im just a filthy rag. Im not a preacher because Im not called and would be unworthy. Im not a teacher because I would have no patience, and Im not a speaker because Im very shy with large groups. Therefore, the printed virgin*. Maybe Im an explainer. I prefer to explain my faults and sins rather than point at others. There is a fine line between being judgmental and attempting to explain the truth. I once was told from an old-fashioned fire and brimstone preacher that he did not judge people, but people judged themselves with their actions. If U are truly told by the Son of God to give someone a message, U better do it. U are not going to like your life for being disobedient. However, U may temporarily not like your life for being obedient. It is a strange dichotomy in the dilemma of life. We have to not wither but have planted seeds in the good ground of life to withstand the persecution. I truly hope those who may feel offended by my humor or Bibles truths . . . will understand that Im speaking from my heart and only want to help, and Im incapable of expressing the right words at the right time in person. Please remember Im in this struggle too. Just because I have written a book . . . does not mean I am exempted from hell. A walk with Jesus and temptation from the devil is a daily battle. I need your prayers. Im a long ways from where I want to be in Christ. Larry""","""http://books.google.com/books/content?id=4AU_BAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9781499037760""","""en"
"4bnOEAAAQBAJ""","""Ernest J. Gaines""","{"Karen Carmean"}","""Drawing on his rich Louisiana past, Ernest J. Gaines creates a fictional world representative of the human experience. His work explores the complex racial relationships—so much a part of Southern history and culture—and the unwritten and unspoken conventions of caste and class. Often structured around journeys of discovery, Gaines' works affirm the integrity of the individual and the unequivocal place in American life for Americans of African descent. This study offers a clear, accessible reading of Gaines' fiction. It analyzes in turn all of Gaines' novels as well as his collection of short stories. A complete bibliography of Gaines' fiction, as well as selected reviews and criticism, completes the study. Following a biographical chapter on Gaines' life, an overview of his fiction explores his work in light of his literary heritage and use of genre. Each of the following chapters examines an individual novel: Catherine Carmier (1964), Of Love and Dust (1967), The Autobiography of Miss Jane Pittman (1971), In My Father's House (1978), A Gathering of Old Men (1983), A Lesson Before Dying (1994), and a collection of short stories, Bloodline (1968). The discussion of each work includes sections on plot and character development, thematic issues, and an alternative critical approach from which to read the novel. Carmean shows how each of Gaines' novels focuses on themes of personal value and place and affirms the need for recognizing the value of the individual, regardless of race. This study will help readers to understand the compelling issue of human relationships raised by Gaines and to see why he is one of America's finest writers.""","""http://books.google.com/books/content?id=4bnOEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9780313317255""","""en"
"4h4EEAAAQBAJ""","""Beginner's Guide for Data Analysis using R Programming""","{"Jeeva Jose"}","""R programming is an efficient tool for statistical analysis of data. Data science has become critical to each field and the popularity of R is skyrocketing. Organization as large and diverse as Google, Facebook, Microsoft, Bank of America, Ford Motor Company, Mozilla, Thomas Cook, The New York Times, The National Weather Service, Twitter, ANZ Bank, Uber, Airbnb etc . have turned to R for reporting, analyzing and visualization of data, this book is for students and professionals of Mathematics, Statistics, Physics, Chemistry, Biology, Social Science and Medicine, Business, Engineering, Software, Information Technology, Sales, Bio Informatics, Pharmacy and any one, where data needs to be analyzed and represented graphically.""","""http://books.google.com/books/content?id=4h4EEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9789386173454""","""en"
"4KaqSD2AuPwC""","""G. Evelyn Hutchinson and the Invention of Modern Ecology""","{"Nancy G. Slack"}","""Slack enjoyed full access to Hutchinson's archives and conducted extensive interviews both with Hutchinson himself and with his students, colleagues, and friends. She evaluates his contributions to theoretical ecology, limnology (the study of fresh-water ecosystems), biogeochemistry, population ecology, and the creation of the new fields of systems ecology and radiation ecology, and she discusses his profound influence as a mentor. The book also looks into his personal life, which included three very different wives, a refugee baby under his care during World War II, friendships with such contemporaries as Rebecca West, Margaret Mead, and Gregory Bateson, and a host of colleagues and friends on four continents. Filled with information available nowhere else, this book draws a vibrant portrait of a giant in the discipline of twentieth-century ecology who was also a man of remarkable personal appeal. --Book Jacket.""","""http://books.google.com/books/content?id=4KaqSD2AuPwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9780300161380""","""en"
"4Mfe4sAMFUYC""","""C in a Nutshell""","{"Peter Prinz"","""""Tony Crawford""}""","""Learning a language--any language--involves a process wherein you learn to rely less and less on instruction and more increasingly on the aspects of the language you've mastered. Whether you're learning French, Java, or C, at some point you'll set aside the tutorial and attempt to converse on your own. It's not necessary to know every subtle facet of French in order to speak it well, especially if there's a good dictionary available. Likewise, C programmers don't need to memorize every detail of C in order to write good programs. What they need instead is a reliable, comprehensive reference that they can keep nearby. C in a Nutshell is that reference. This long-awaited book is a complete reference to the C programming language and C runtime library. Its purpose is to serve as a convenient, reliable companion in your day-to-day work as a C programmer. C in a Nutshell covers virtually everything you need to program in C, describing all the elements of the language and illustrating their use with numerous examples. The book is divided into three distinct parts. The first part is a fast-paced description, reminiscent of the classic Kernighan & Ritchie text on which many C programmers cut their teeth. It focuses specifically on the C language and preprocessor directives, including extensions introduced to the ANSI standard in 1999. These topics and others are covered: Numeric constants Implicit and explicit type conversions Expressions and operators Functions Fixed-length and variable-length arrays Pointers Dynamic memory management Input and output The second part of the book is a comprehensive reference to the C runtime library; it includes an overview of the contents of the standard headers and a description of each standard library function. Part III provides the necessary knowledge of the C programmer's basic tools: the compiler, the make utility, and the debugger. The tools described here are those in the GNU software collection. C in a Nutshell is the perfect companion to K&R, and destined to be the most reached-for reference on your desk.""","""http://books.google.com/books/content?id=4Mfe4sAMFUYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9780596550714""","""en"
"4TvPEAAAQBAJ""","""U-2 ‘Dragon Lady’ Units 1955–90""","{"Peter E. Davies"}","""An illustrated account of the early service of the Lockheed U-2, one of the most important and longest-serving intelligence gathering platforms fielded by the US air force. The U-2 is one of the most recognizable aircraft of the Cold War; nicknamed the 'Dragon Lady' after the codename given to it by the CIA, this powered glider was designed and operated in great secrecy, providing US authorities with photographic and electronic information from areas of interest across the globe. This illuminating new volume dives deep into the U-2's most critical missions, exploring its role in the Cuban Missile Crisis, nuclear reconnaissance in the Soviet Union, and intelligence missions in China and North Vietnam. Using previously unpublished research, aviation expert Peter E. Davies examines the operations of one of the landmark aircraft of the 20th century from a fresh and engaging perspective, enhanced by more than 50 photos and 21 newly commissioned profile artworks.""","""http://books.google.com/books/content?id=4TvPEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9781472861702""","""en"
"4uV8U-yjbR4C""","""An Account of the Tribes on the Neilgherries by J. Shortt, and a Geographical and Statistical Memoir of the Neilgherry Mountains by Colonel Ouchterlony""","{"John Shortt (Botanist?)"}","""No Description""","""http://books.google.com/books/content?id=4uV8U-yjbR4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""HARVARD:32044088754668""","""en"
"4VhEAAAAQBAJ""","""Analyzing Compositional Data with R""","{"K. Gerald van den Boogaart"","""""Raimon Tolosana-Delgado""}""","""This book presents the statistical analysis of compositional data sets, i.e., data in percentages, proportions, concentrations, etc. The subject is covered from its grounding principles to the practical use in descriptive exploratory analysis, robust linear models and advanced multivariate statistical methods, including zeros and missing values, and paying special attention to data visualization and model display issues. Many illustrated examples and code chunks guide the reader into their modeling and interpretation. And, though the book primarily serves as a reference guide for the R package “compositions,” it is also a general introductory text on Compositional Data Analysis. Awareness of their special characteristics spread in the Geosciences in the early sixties, but a strategy for properly dealing with them was not available until the works of Aitchison in the eighties. Since then, research has expanded our understanding of their theoretical principles and the potentials and limitations of their interpretation. This is the first comprehensive textbook addressing these issues, as well as their practical implications with regard to software. The book is intended for scientists interested in statistically analyzing their compositional data. The subject enjoys relatively broad awareness in the geosciences and environmental sciences, but the spectrum of recent applications also covers areas like medicine, official statistics, and economics. Readers should be familiar with basic univariate and multivariate statistics. Knowledge of R is recommended but not required, as the book is self-contained.""","""http://books.google.com/books/content?id=4VhEAAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9783642368097""","""en"
"4yE6EQAAQBAJ""","""P-38 Lightning in Detail & Scale, Part 1""","{"Bert Kinzey"}","""The Germans called it Der Gabelschwanz Teuful or “The Forked-tailed Devil.” The Japanese referred to it as two planes with one pilot. But whatever it was likened to, the Lockheed P-38 Lightning represented a giant step forward in combat aircraft design and technology. With its twin-engine, twin-boom design, and a fuselage pod between the booms, the P-38 Lightning was a radically different design from any previous fighter aircraft. Its high speed and long range, coupled with its firepower being concentrated in the fuselage pod, made it one of the most formidable fighters of World War II. Ideally suited for operations in the Pacific, it scored more aerial victories in that theater than any other USAAF fighter. In 1998, Detail & Scale published two books on the P-38 Lightning. These publications were very popular but have been out-of-print for quite some time. This publication, P-38 Lightning in Detail and Scale, Part 1is the first of two newly expanded, updated, and revised editions of Detail & Scale’s previous two-part coverage of the Lightning. A considereable number of color photographs, both historical and detail in nature, have been added. The focus of this volume is on the so-called early Lightnings, beginning with the first XP-38 prototype and continuing through the P-38H. Also included are the related F-4, F-4A, and F-5A photographic reconnaissance variants. When it first flew in 1939, the Lightning was larger, faster, and more heavily armed than any fighter aircraft in the world. Early variants of the P-38 found themselves thrust into combat as the United States entered World War II. In Europe, early Lightnings were plagued with problems associated with British fuels interacting with their exhaust-driven, turbo-supercharged engines at high altitudes. Elsewhere, in northern Africa, the Mediterranean, the Aleutians, and throughout the Pacific, the P-38 performed far more effectively and produced outstanding results in combat. America’s top two aces of World War II, Richard Bong and Thomas McGuire, scored all of their victories in the large P-38 while flying against smaller, more nimble Japanese aircraft known for their maneuverability. More than one hundred other aces scored all or most of their victories in the Lightining. This publication features expanded and revised historical overviews of the P-38s, along with detailed descriptions of each P-38 variant. The Early Lightning Details chapter also features new and expanded content compared to the original 1998 book. The chapter is illustrated with scores of detailed and meticulously restored photographs accompanied by captions that illustrate both important features and subtle differences between P-38 variants. Some of these images are original archival material, while others were chosen from hundreds of photos taken specifically for this book by the authors and their contributors. Of note, the Lightning Details chapter in P-38 Lightning in Detail and Scale, Part 1 features photos of the P-38F “Glacier Girl” to be found nowhere else. This P-38 was recovered from under the Greenland ice pack in 1992. Bert Kinzey took these photos during the restoration of “Glacier Girl” in 1998 and the photographs illustrate the details of the Lightning that would otherwise be difficult or impossible to represent. As with all of our publications in the Detail & Scale Series, the book concludes with a Modelers Section that features reviews of the plastic model kits of these early P-38 variants. Each review impartially and objectively highlights each kit’s strengths and weaknesses, along with ways that a scale modeler can correct or improve upon accuracy and details. P-38 Lightning in Detail & Scale, Part 1 contains over 200 high-resolution photographs along with dozens of detailed line drawings of the P-38 variants covered. The Early Lightning Details Chapter alone has 122 photographs.""","""http://books.google.com/books/content?id=4yE6EQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9798988667636""","""en"
"5c4XAAAAYAAJ""","""Direct Current Generator G-43/G.""","""{}""","""No Description""","""http://books.google.com/books/content?id=5c4XAAAAYAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""UVA:X004135492""","""en"
"5c66r0KrPUMC""","""Vitamin D""","{"David Feldman"","""""J. Wesley Pike""""","""""Francis H. Glorieux""}""","""Vitamin D, a steroid hormone, has mainly been known for its effects on bone and osteoporosis. The current therapeutic practices expand into such markets as cancer research, pediatrics, nephrology, dermatology, immunology, and genetics. This second edition includes over 100 chapters covering everything from chemistry and metabolism to mechanisms of action, diagnosis and management, new analogs, and emerging therapies. This complete reference works is a must have resource for anyone working in endocrinology, osteology, bone biology, or cancer research.*Most comprehensive, up-to-date two-volume set on Vitamin D*New chapters on squamous cell cancer, brain cancer, thyroid cancer and many more*Further sections on emerging uses for treatments of auto-immune diseases and diabetes*Over 600 illustrations and figures available on CD""","""http://books.google.com/books/content?id=5c66r0KrPUMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9780080543642""","""en"
"5ClUxaJ20S4C""","""The Delineator""","""{}""","""No Description""","""http://books.google.com/books/content?id=5ClUxaJ20S4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""WISC:89012057642""","""en"
"5ee1AgAAQBAJ""","""Introduction to the New Mainframe: z/VM Basics""","{"Lydia Parziale"","""""Edi Lopes Alves""""","""""Klaus Egeler""""","""""Clive Jordan""""","""""Jason Herne""""","""""Eli M Dow""""","""""Eravimangalath P Naveen""""","""""Manoj S Pattabhiraman""""","""""Kyle Smith""""","""""IBM Redbooks""}""","""This textbook provides students with the background knowledge and skills necessary to begin using the basic functions and features of z/VM Version 5, Release 3. It is part of a series of textbooks designed to introduce students to mainframe concepts and help prepare them for a career in large systems computing. For optimal learning, students are assumed to be literate in personal computing and have some computer science or information systems background. Others who will benefit from this textbook include z/OS professionals who would like to expand their knowledge of other aspects of the mainframe computing environment. This course can be used as a prerequisite to understanding Linux on System z. After reading this textbook and working through the exercises, the student will have received a basic understanding of the following topics: The Series z Hardware concept and the history of the mainframe Virtualization technology in general and how it is exploited by z/VM Operating systems that can run as guest systems under z/VM z/VM components The z/VM control program and commands The interactive environment under z/VM, CMS and its commands z/VM planning and administration Implementing the networking capabilities of z/VM Tools to monitor the performance of z/VM systems and guest operating systems The REXX programming language and CMS pipelines Security issues when running z/VM""","""http://books.google.com/books/content?id=5ee1AgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9780738488554""","""en"
"5eNhAAAAcAAJ""","""Comparative Anatomy. By C. Th. v. Siebold and H. Stannius. Translated ... and edited with notes and additions ... by Waldo I. Burnett. vol. 1. Anatomy of the Invertebrata. By C. Th. v. Siebold""","{"Carl Theodor Ernst von SIEBOLD"}","""No Description""","""http://books.google.com/books/content?id=5eNhAAAAcAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""BL:A0019953385""","""en"
"5Es3AQAAMAAJ""","""Application of X-Ray Fluorescence Spectroscopy to Material Analysis of Threaded Fasteners""","""{}""","""No Description""","""http://books.google.com/books/content?id=5Es3AQAAMAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""NASA:31769000598790""","""en"
"5fcVHNMT5nIC""","""The Register of the Privy Council of Scotland: Addenda, 1545-1625""","{"Scotland. Privy Council"}","""No Description""","""http://books.google.com/books/content?id=5fcVHNMT5nIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""HARVARD:32044032327843""","""en"
"5FmxDwAAQBAJ""","""Indian Air Force Airmen Group X & Y (Technical & Non-Techincal Trades Exam) 25 Practice Sets (Revised 2021)""","{"Prakash Mishra"}","""INDIAN AIR FORCE AIRMEN GROUP X & Y (TECHNICAL & NON-TECHINCAL TRADES EXAM) 25 PRACTICE SETS (REVISED 2021) by Prakash Mishra: In this non-fiction book, Prakash Mishra provides readers with 25 practice sets for the Indian Air Force Airmen Group X & Y Technical & Non-Technical Trades Exam. With its extensive coverage of the subject matter and practice questions, this book is a must-read for anyone preparing for the exam. Key Aspects of the Book ""INDIAN AIR FORCE AIRMEN GROUP X & Y (TECHNICAL & NON-TECHINCAL TRADES EXAM) 25 PRACTICE SETS (REVISED 2021)"": Comprehensive Coverage: Prakash Mishra's book provides comprehensive coverage of the subject matter covered in the Indian Air Force Airmen Group X & Y Technical & Non-Technical Trades Exam. Practice Sets: The book features 25 practice sets to help readers master the subject matter and test their knowledge. Useful for Exam Preparation: The book is useful for students preparing for competitive exams for Indian Air Force Airmen Group X & Y Technical & Non-Technical Trades Exam. Prakash Mishra is a writer and educator who specializes in creating study materials and educational resources. His book, INDIAN AIR FORCE AIRMEN GROUP X & Y (TECHNICAL & NON-TECHINCAL TRADES EXAM) 25 PRACTICE SETS (REVISED 2021), is highly regarded for its comprehensive coverage and extensive practice questions.""","""http://books.google.com/books/content?id=5FmxDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9789353226152""","""en"
"5GegHzHmVeEC""","""Mother Says I Mustn't""","""{}""","""No Description""","""http://books.google.com/books/content?id=5GegHzHmVeEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""UOM:39015097826955""","""en"
"5H4zfBJNbyUC""","""Vitamin D Revolution""","{"Soram Khalsa, M.D."}","""Recent, groundbreaking medical research has made a connection between Vitamin D deficiency and 17 types of cancers, including breast, colon, and prostate. Illnesses such as influenza, diabetes, multiple sclerosis, and coronary heart disease have also been connected to a lack of this vitamin. Until not too long ago, not getting enough Vitamin D (the sunshine vitamin) was only associated with rickets, the childhood bone disease. Now, Soram Khalsa, M.D., sheds new light on the power of this long-forgotten vitamin. He reveals how to recognize signs of Vitamin D deficiency, which has reached epidemic proportions in North America, and then shares insights from his Beverly Hills medical practice, where he normalizes his own patients’ Vitamin D levels for their optimal health.""","""http://books.google.com/books/content?id=5H4zfBJNbyUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9781401929114""","""en"
"5I_q52-HJCYC""","""A Dictionary of Music and Musicians""","{"George Grove"}","""No Description""","""http://books.google.com/books/content?id=5I_q52-HJCYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""UCI:31970001387718""","""en"
"5i0EGSjAwpoC""","""M-Theory and Quantum Geometry""","{"Lárus Thorlacius"}","""Proceedings of the NATO Advanced Study Institute on Quantum Geometry, held in Akureyri, Iceland, on August 9-20, 1999""","""http://books.google.com/books/content?id=5i0EGSjAwpoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""0792364740""","""en"
"5Lg9AQAAMAAJ""","""Quarterly Journal of Pure and Applied Mathematics""","""{}""","""No Description""","""http://books.google.com/books/content?id=5Lg9AQAAMAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""PSU:000067417803""","""en"
"5mJcb7F9wEcC""","""Bookseller and the Stationery Trades' Journal""","""{}""","""No Description""","""http://books.google.com/books/content?id=5mJcb7F9wEcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""CORNELL:31924078875238""","""en"
"5PycDwAAQBAJ""","""Advanced R, Second Edition""","{"Hadley Wickham"}","""Advanced R helps you understand how R works at a fundamental level. It is designed for R programmers who want to deepen their understanding of the language, and programmers experienced in other languages who want to understand what makes R different and special. This book will teach you the foundations of R; three fundamental programming paradigms (functional, object-oriented, and metaprogramming); and powerful techniques for debugging and optimising your code. By reading this book, you will learn: The difference between an object and its name, and why the distinction is important The important vector data structures, how they fit together, and how you can pull them apart using subsetting The fine details of functions and environments The condition system, which powers messages, warnings, and errors The powerful functional programming paradigm, which can replace many for loops The three most important OO systems: S3, S4, and R6 The tidy eval toolkit for metaprogramming, which allows you to manipulate code and control evaluation Effective debugging techniques that you can deploy, regardless of how your code is run How to find and remove performance bottlenecks The second edition is a comprehensive update: New foundational chapters: ""Names and values,"" ""Control flow,"" and ""Conditions"" comprehensive coverage of object oriented programming with chapters on S3, S4, R6, and how to choose between them Much deeper coverage of metaprogramming, including the new tidy evaluation framework use of new package like rlang (http://rlang.r-lib.org), which provides a clean interface to low-level operations, and purr (http://purrr.tidyverse.org/) for functional programming Use of color in code chunks and figures Hadley Wickham is Chief Scientist at RStudio, an Adjunct Professor at Stanford University and the University of Auckland, and a member of the R Foundation. He is the lead developer of the tidyverse, a collection of R packages, including ggplot2 and dplyr, designed to support data science. He is also the author of R for Data Science (with Garrett Grolemund), R Packages, and ggplot2: Elegant Graphics for Data Analysis.""","""http://books.google.com/books/content?id=5PycDwAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api""","""9781351201308""","""en"
"5rD5iJMu_McC""","""Shoemaker's Best Selections for Readings and Recitations""","""{}""","""No Description""","""http://books.google.com/books/content?id=5rD5iJMu_McC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""MINN:31951002323772W""","""en"
"5UBZDwAAQBAJ""","""A = B""","{"Marko Petkovsek"","""""Herbert S Wilf""""","""""Doron Zeilberger""}""","""This book is of interest to mathematicians and computer scientists working in finite mathematics and combinatorics. It presents a breakthrough method for analyzing complex summations. Beautifully written, the book contains practical applications as well as conceptual developments that will have applications in other areas of mathematics.From the ta""","""http://books.google.com/books/content?id=5UBZDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9781439864500""","""en"
"5xvEEAAAQBAJ""","""Chwedlau'r Copa Coch: Lladron y Deyrnas Goll""","{"Elidir Jones"}","""Lladron y Deyrnas Goll is the fourth title in the epic fantasy series Chwedlau'r Copa Coch. It will appeal to young and old readers who like adventure, treasure and wild inventions.""","""http://books.google.com/books/content?id=5xvEEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9781801064033""","""en"
"5YQZPXWhy8gC""","""Tanis""","{"William M. Flinders Petrie"}","""No Description""","""http://books.google.com/books/content?id=5YQZPXWhy8gC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""BSB:BSB11470522""","""en"
"60iQlw06oE0C""","""Senate documents""","""{}""","""No Description""","""http://books.google.com/books/content?id=60iQlw06oE0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""BSB:BSB11361763""","""en"
"60VMAwAAQBAJ""","""The Commentary of Origen on S. John's Gospel""","{"A. E. Brooke"}","""No Description""","""http://books.google.com/books/content?id=60VMAwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9781606089187""","""en"
"62K-DwAAQBAJ""","""Introduction to Data Science""","{"Rafael A. Irizarry"}","""Introduction to Data Science: Data Analysis and Prediction Algorithms with R introduces concepts and skills that can help you tackle real-world data analysis challenges. It covers concepts from probability, statistical inference, linear regression, and machine learning. It also helps you develop skills such as R programming, data wrangling, data visualization, predictive algorithm building, file organization with UNIX/Linux shell, version control with Git and GitHub, and reproducible document preparation. This book is a textbook for a first course in data science. No previous knowledge of R is necessary, although some experience with programming may be helpful. The book is divided into six parts: R, data visualization, statistics with R, data wrangling, machine learning, and productivity tools. Each part has several chapters meant to be presented as one lecture. The author uses motivating case studies that realistically mimic a data scientist’s experience. He starts by asking specific questions and answers these through data analysis so concepts are learned as a means to answering the questions. Examples of the case studies included are: US murder rates by state, self-reported student heights, trends in world health and economics, the impact of vaccines on infectious disease rates, the financial crisis of 2007-2008, election forecasting, building a baseball team, image processing of hand-written digits, and movie recommendation systems. The statistical concepts used to answer the case study questions are only briefly introduced, so complementing with a probability and statistics textbook is highly recommended for in-depth understanding of these concepts. If you read and understand the chapters and complete the exercises, you will be prepared to learn the more advanced concepts and skills needed to become an expert. A complete solutions manual is available to registered instructors who require the text for a course.""","""http://books.google.com/books/content?id=62K-DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9781000707731""","""en"
"66l_EAAAQBAJ""","""If You Came For Tea and I Didn't Have A Kettle""","{"Ishani  "}","""There are many ways to tell a story. And there are many ways to read a story. Much like reality, the stories told through poetry can only be understood as fragments- put together piece by piece like a puzzle. “If You Came For Tea And I Didn’t Have A Kettle” is a story of this kind. More specifically, it is a collection of around 50 poems, written over the course of a few years. These are poems written through the last of youth as it fades into the bitter potential of adulthood. These are poems written through the all-encompassing hope, grandeur and delusion at the start of first love, to the end of second love and the calm disappointment it brings. These are poems about one life. These are pieces of a life; and these pieces can be put together however you wish to line them up. Maybe you can even find a glimpse of your own life within their cracked surface.""","""http://books.google.com/books/content?id=66l_EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""","""en"
"67ccCgAAQBAJ""","""Amour et Raison - L'Appel de l'Enfance""","{"Ernst Delma"}","""Amour et Raison, roman en deux tomes, est en quelque sorte une divagation artificielle et émotionelle mettant en exergue un sentimentalisme truffé de philosophie ou une philosophie vêtue de banalités nécessaires à la survie quotidienne de l'Homme. Une 'hémorragie de l'imagination' dirait Jules Verne, conçue autour d'un discernement à la fois concret et abstrait de l'amour, une approche plutôt élaborée de la raison dans un univers déconcertant et déconcerté, aspirant fortement à l'amour et à la raison puis ballotté entre les deux. C'est l'histoire d'un amour à la fois matériel et immatériel des autres, du pays natal et ultimement de soi-même. Le souffle du roman étant placé entre autres à Jacmel, relate plus que l'histoire d'un passé Jacmélien. S'il le fait, ce passé reste encore présent par sa vivacité même dans l'esprit Jacmélien. C'est de préférence le compte rendu nostalgique d'un passé qui se veut présent et éternel, et qui est propre à Jacmel.""","""http://books.google.com/books/content?id=67ccCgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9780991249961""","""en"
